format,input_dtype,output_dtype,mode,round,distribution,max_abs,mae,mse,payload_ratio,file_ratio
1,1,2,0,0,outliers,17.75,0.0691900060951,0.237843371916,1.9328358209,1.93039369166
1,1,2,0,1,uniform,0.12353515625,0.0278623988794,0.00149661434359,1.9328358209,1.93039369166
1,1,2,0,1,normal,0.49609375,0.0477865026839,0.00559698145578,1.9328358209,1.93039369166
1,1,2,0,1,outliers,46.25,0.0931841239257,0.524471367528,1.9328358209,1.93039369166
1,1,2,1,0,uniform,0.0625,0.0208577573592,0.000744234718084,1.99996995373,1.99733037375
1,1,2,1,0,normal,0.25,0.0358470688556,0.00279582844779,1.99996995373,1.99733037375
1,1,2,1,0,outliers,17.75,0.0691900060951,0.237843371916,1.99996995373,1.99733037375
1,1,2,1,1,uniform,0.12353515625,0.0278623988794,0.00149661434359,1.99996995373,1.99733037375
1,1,2,1,1,normal,0.49609375,0.0477865026839,0.00559698145578,1.99996995373,1.99733037375
1,1,2,1,1,outliers,46.25,0.0931841239257,0.524471367528,1.99996995373,1.99733037375
2,0,0,0,0,uniform,0.166642844677,0.0441897571037,0.00344966524719,7.07082724738,7.05187617509
2,0,0,0,0,normal,0.539123058319,0.0708650251607,0.008926650239,7.07082724738,7.05187617509
2,0,0,0,0,outliers,9.68211364746,0.175785743891,0.176425827185,7.07082724738,7.05187617509
2,0,0,0,1,uniform,0.327931404114,0.0588126814694,0.00693814428205,7.07082724738,7.05187617509
2,0,0,0,1,normal,1.1547832489,0.0950479884943,0.0188082787992,7.07082724738,7.05187617509
2,0,0,0,1,outliers,38.7295150757,0.262191592285,0.831486228977,7.07082724738,7.05187617509
2,0,0,1,0,uniform,0.166643381119,0.0486889108282,0.00407507916523,7.99867816265,7.97424764186
2,0,0,1,0,normal,0.701524496078,0.10157347026,0.0152621855361,7.99867816265,7.97424764186
2,0,0,1,0,outliers,45.4719390869,0.870697248854,2.08623653623,7.99867816265,7.97424764186
2,0,0,1,1,uniform,0.329273164272,0.0646175273673,0.00804372638048,7.99867816265,7.97424764186
2,0,0,1,1,normal,1.37644839287,0.135668064583,0.0308211193602,7.99867816265,7.97424764186
2,0,0,1,1,outliers,85.6169281006,1.60393200987,19.4597669277,7.99867816265,7.97424764186
2,0,1,0,0,uniform,0.166738152504,0.0441980686535,0.003451503838,7.07082724738,7.05187617509
2,0,1,0,0,normal,0.538235902786,0.0708625374534,0.00892685552429,7.07082724738,7.05187617509
2,0,1,0,0,outliers,9.66632080078,0.175801188902,0.176467147189,7.07082724738,7.05187617509
2,0,1,0,1,uniform,0.32809305191,0.0588209762402,0.00694065619268,7.07082724738,7.05187617509
2,0,1,0,1,normal,1.15512418747,0.0950448221726,0.018808460345,7.07082724738,7.05187617509
2,0,1,0,1,outliers,38.7347793579,0.262201181504,0.831446872634,7.07082724738,7.05187617509
2,0,1,1,0,uniform,0.166805028915,0.0487058841781,0.00407889880988,7.99867816265,7.97424764186
2,0,1,1,0,normal,0.701140642166,0.101595408716,0.0152701548726,7.99867816265,7.97424764186
2,0,1,1,0,outliers,45.3972320557,0.870683687116,2.08571758295,7.99867816265,7.97424764186
2,0,1,1,1,uniform,0.329274773598,0.0646342879473,0.00804874186698,7.99867816265,7.97424764186
2,0,1,1,1,normal,1.37800097466,0.13570334961,0.0308440741834,7.99867816265,7.97424764186
